"Gif","FullGifPath","FrameCount","MaxAnchorDelta","MaxSoleDelta","MaxCenterDelta","MaxPixelDeltaPct","MaxBboxWidthDelta","MaxBboxHeightDelta","RiskScore","WorkDir"
"elevacao-de-pernas-deitado-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\elevacao-de-pernas-deitado-animado-review-v2.gif","13","4.8","0","5.33","1.85","7","46","301.68","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\elevacao-de-pernas-deitado-animado-review-v2\20260525-075723"
"boxe-leve-saco-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\boxe-leve-saco-animado-review-v2.gif","13","1.18","0","21.25","18.97","31","9","301.66","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\boxe-leve-saco-animado-review-v2\20260525-075723"
"supino-reto-halteres-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\supino-reto-halteres-animado-review-v2.gif","13","10.03","0","7.16","1.81","9","35","289.86","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\supino-reto-halteres-animado-review-v2\20260525-075723"
"step-up-no-banco-halteres-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\step-up-no-banco-halteres-animado-review-v2.gif","13","8.28","0","1.34","0.67","28","16","269.42","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\step-up-no-banco-halteres-animado-review-v2\20260525-075723"
"pullover-halter-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\pullover-halter-animado-review-v2.gif","13","1.23","0","3.13","1.76","20","39","245.28","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\pullover-halter-animado-review-v2\20260525-075723"
"crucifixo-halteres-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\crucifixo-halteres-animado-review-v2.gif","13","0.76","1","0.84","1.14","18","36","224.99","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\crucifixo-halteres-animado-review-v2\20260525-075723"
"afundo-andando-halteres-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\afundo-andando-halteres-animado-review-v2.gif","13","0.63","0","5.54","7.99","22","14","213.42","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\afundo-andando-halteres-animado-review-v2\20260525-075723"
"elevacao-lateral-halteres-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\elevacao-lateral-halteres-animado-review-v2.gif","13","0.64","0","0.51","1.14","50","5","207.12","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\elevacao-lateral-halteres-animado-review-v2\20260525-075723"
"flexao-inclinada-banco-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\flexao-inclinada-banco-animado-review-v2.gif","13","0.82","0","5.11","2.22","17","23","205.47","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\flexao-inclinada-banco-animado-review-v2\20260525-075723"
"stiff-halteres-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\stiff-halteres-animado-review-v2.gif","13","0.56","0","14.66","1.31","18","17","196.14","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\stiff-halteres-animado-review-v2\20260525-075723"
