"Gif","FullGifPath","FrameCount","MaxAnchorDelta","MaxSoleDelta","MaxCenterDelta","MaxPixelDeltaPct","MaxBboxWidthDelta","MaxBboxHeightDelta","RiskScore","WorkDir"
"boxe-leve-saco-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\boxe-leve-saco-animado-review-v3.gif","11","7.26","0","26.07","52.68","58","21","388.56","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\boxe-leve-saco-animado-review-v3\20260525-083951"
"pullover-halter-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\pullover-halter-animado-review-v3.gif","13","5.35","0","1.98","9.93","21","50","311.97","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\pullover-halter-animado-review-v3\20260525-083951"
"supino-reto-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\supino-reto-halteres-animado-review-v3.gif","13","8.4","0","5.8","19.15","6","44","288.16","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\supino-reto-halteres-animado-review-v3\20260525-083951"
"crucifixo-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\crucifixo-halteres-animado-review-v3.gif","13","2.31","1","3.37","16.46","8","43","236.15","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\crucifixo-halteres-animado-review-v3\20260525-083951"
"afundo-andando-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\afundo-andando-halteres-animado-review-v3.gif","11","6.29","0","5.68","18.31","26","8","221.7","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\afundo-andando-halteres-animado-review-v3\20260525-083951"
"step-up-no-banco-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\step-up-no-banco-halteres-animado-review-v3.gif","11","1.57","0","9.32","21.55","31","1","208.7","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\step-up-no-banco-halteres-animado-review-v3\20260525-083951"
"elevacao-lateral-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\elevacao-lateral-halteres-animado-review-v3.gif","13","0.05","0","0.65","8.05","57","0","208.68","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\elevacao-lateral-halteres-animado-review-v3\20260525-083951"
"flexao-inclinada-banco-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\flexao-inclinada-banco-animado-review-v3.gif","13","2.58","0","1.97","2.97","15","30","190.83","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\flexao-inclinada-banco-animado-review-v3\20260525-083951"
"elevacao-de-pernas-deitado-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\elevacao-de-pernas-deitado-animado-review-v3.gif","8","4.58","1","0.95","0.37","8","56","169.08","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\elevacao-de-pernas-deitado-animado-review-v3\20260525-083951"
"stiff-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\stiff-halteres-animado-review-v3.gif","13","0.55","0","4.35","7.37","22","14","153.86","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\stiff-halteres-animado-review-v3\20260525-083951"
"stiff-leve-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\stiff-leve-halteres-animado-review-v3.gif","13","0.55","0","4.35","7.37","22","14","153.86","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\stiff-leve-halteres-animado-review-v3\20260525-083951"
